,FROM,TO,TYPE,R,X,B,LIM1,LIM2,LIM3,TAP,TAPMIN,TAPMAX,STEP,TANG
91,N90,N93,0,5.011539386094675e-05,2.0529197485207105e-05,0,0,0,0,0,0,0,0,0
92,N91,N94,0,0.0006383896542159,1.5919540495562133e-05,0,0,0,0,0,0,0,0,0
93,N92,N95,0,0.0011506890717455,0.0001831814441568,0,0,0,0,0,0,0,0,0
94,N93,N96,0,6.603472633136095e-05,2.7050369822485217e-05,0,0,0,0,0,0,0,0,0
95,N94,N97,0,0.0006748192492603,1.6827986316568048e-05,0,0,0,0,0,0,0,0,0
96,N95,N98,0,0.0007599442492603,0.0001209776719674,0,0,0,0,0,0,0,0,0
97,N96,N99,0,2.855887573964497e-05,1.169881656804734e-05,0,0,0,0,0,0,0,0,0
98,N97,N100,0,0.0016441584689349,4.100042529585799e-05,0,0,0,0,0,0,0,0,0
99,N98,N101,0,0.0010492710798816,0.0001670364275147,0,0,0,0,0,0,0,0,0
100,N99,N102,0,0.0038997568417159,0.0015974907544378,0,0,0,0,0,0,0,0,0
101,N100,N103,0,0.0052456781619822,0.0001308116216715,0,0,0,0,0,0,0,0,0
102,N101,N104,0,0.0001186474667159,8.9985438239645e-05,0,0,0,0,0,0,0,0,0
103,N101,N105,0,0.000692792714497,0.0001102876294378,0,0,0,0,0,0,0,0,0
104,N102,N106,0,0.0001696527366863,6.949630177514793e-05,0,0,0,0,0,0,0,0,0
105,N104,N107,0,0.0001435470599112,0.0001088699611686,0,0,0,0,0,0,0,0,0
106,N105,N108,0,0.0003928478180473,6.253855399408284e-05,0,0,0,0,0,0,0,0,0
107,N106,N109,0,0.0003459740199704,0.0001417242973372,0,0,0,0,0,0,0,0,0
108,N107,N110,0,0.0001663812869822,0.0001261880547337,0,0,0,0,0,0,0,0,0
109,N108,N111,0,0.0155007267011834,0.002467604474852,0,0,0,0,0,0,0,0,0
110,N109,N112,0,0.0091906231508875,0.0037648335798816,0,0,0,0,0,0,0,0,0
111,N110,N113,0,0.0002536820913461,0.0001923993389423,0,0,0,0,0,0,0,0,0
112,N111,N114,0,0.001552835428994,0.0002472002588757,0,0,0,0,0,0,0,0,0
113,N112,N115,0,0.0081812860576923,0.0033513701923076,0,0,0,0,0,0,0,0,0
114,N113,N116,0,0.0003261427052514,0.0002473554225221,0,0,0,0,0,0,0,0,0
115,N114,N117,0,0.000454874260355,0.0003449889053254,0,0,0,0,0,0,0,0,0
116,N114,N118,0,0.0046303365384615,0.0012336298076923,0,0,0,0,0,0,0,0,0
117,N115,N119,0,0.0007632684911242,0.0003126642011834,0,0,0,0,0,0,0,0,0
118,N116,N120,0,0.0002341392843934,0.0001775775471523,0,0,0,0,0,0,0,0,0
119,N117,N121,0,0.003575238997781,8.915583394970416e-05,0,0,0,0,0,0,0,0,0
120,N117,N122,0,0.0002214755454881,0.0001679730260724,0,0,0,0,0,0,0,0,0
121,N118,N123,0,0.0083502107988165,0.0022246911982248,0,0,0,0,0,0,0,0,0
122,N119,N124,0,0.000556198224852,0.0002278402366863,0,0,0,0,0,0,0,0,0
123,N120,N125,0,0.0003308370931952,0.0002509157729289,0,0,0,0,0,0,0,0,0
124,N121,N126,0,0.0030958732433431,7.720187684911245e-05,0,0,0,0,0,0,0,0,0
125,N122,N127,0,0.0010404178994082,0.0007890809911242,0,0,0,0,0,0,0,0,0
126,N123,N128,0,0.003755086908284,0.001000442862426,0,0,0,0,0,0,0,0,0
127,N124,N129,0,0.0004797056213017,0.0001965059171597,0,0,0,0,0,0,0,0,0
128,N125,N130,0,0.0003579419378698,0.0002714728180473,0,0,0,0,0,0,0,0,0
129,N126,N131,0,0.0021866933247041,5.452963202662723e-05,0,0,0,0,0,0,0,0,0
130,N127,N132,0,0.0203142566568047,0.0015544822485207,0,0,0,0,0,0,0,0,0
131,N127,N133,0,0.0029533089866863,0.0022398691752958,0,0,0,0,0,0,0,0,0
132,N128,N134,0,0.0011172415865384,0.0002976592548076,0,0,0,0,0,0,0,0,0
133,N129,N135,0,0.0014736029955621,0.0006036446005917,0,0,0,0,0,0,0,0,0
134,N130,N136,0,0.0003375680473372,0.0002560207100591,0,0,0,0,0,0,0,0,0
135,N131,N137,0,0.0033834559911242,8.437333579881657e-05,0,0,0,0,0,0,0,0,0
136,N132,N138,0,0.0017494545118343,0.0001338713017751,0,0,0,0,0,0,0,0,0
137,N133,N139,0,0.002197105214497,0.0016663438424556,0,0,0,0,0,0,0,0,0
138,N134,N140,0,0.0012611447855029,0.0003359984282544,0,0,0,0,0,0,0,0,0
139,N135,N141,0,0.001084080066568,0.0004440809911242,0,0,0,0,0,0,0,0,0
140,N136,N142,0,0.0005550157174556,0.0004209388868343,0,0,0,0,0,0,0,0,0
141,N137,N143,0,0.0039973451368343,9.968190643491128e-05,0,0,0,0,0,0,0,0,0
142,N138,N144,0,0.0017165472448224,0.0001313531804733,0,0,0,0,0,0,0,0,0
143,N139,N145,0,0.0014713470784023,0.0011159093010355,0,0,0,0,0,0,0,0,0
144,N140,N146,0,0.0011860835798816,0.0003160003698224,0,0,0,0,0,0,0,0,0
145,N141,N147,0,0.0001845783099112,7.561039201183435e-05,0,0,0,0,0,0,0,0,0
146,N142,N148,0,0.0026389783653846,0.0020014723557692,0,0,0,0,0,0,0,0,0
147,N143,N149,0,0.0035605570451183,8.878970968934912e-05,0,0,0,0,0,0,0,0,0
148,N144,N150,0,0.0013860392011834,0.0001060621301775,0,0,0,0,0,0,0,0,0
149,N145,N151,0,0.0014693310835798,0.0011143803161982,0,0,0,0,0,0,0,0,0
150,N145,N152,0,0.0272795395710059,0.0020874778106508,0,0,0,0,0,0,0,0,0
151,N146,N153,0,0.0013839330621301,0.0003687120931952,0,0,0,0,0,0,0,0,0
152,N147,N154,0,6.376634615384617e-05,2.6121153846153857e-05,0,0,0,0,0,0,0,0,0
153,N148,N155,0,0.0005748876664201,0.0004360103088017,0,0,0,0,0,0,0,0,0
154,N149,N156,0,0.0040210197855029,0.0001002722818047,0,0,0,0,0,0,0,0,0
155,N150,N157,0,0.0020803346893491,0.0001591908284023,0,0,0,0,0,0,0,0,0
156,N151,N158,0,0.0038967534208579,0.0029554028753698,0,0,0,0,0,0,0,0,0
157,N152,N159,0,0.001660408191568,0.0001270573224852,0,0,0,0,0,0,0,0,0
158,N153,N160,0,0.0003982195821005,0.0001060949981508,0,0,0,0,0,0,0,0,0
159,N154,N161,0,9.405029585798818e-05,3.8526627218934915e-05,0,0,0,0,0,0,0,0,0
160,N155,N162,0,0.0624238627958579,0.0047767825443786,0,0,0,0,0,0,0,0,0
161,N155,N163,0,0.0021741475591715,0.0016489321375739,0,0,0,0,0,0,0,0,0
162,N156,N164,0,0.0037332535133136,9.309624630177516e-05,0,0,0,0,0,0,0,0,0
163,N157,N165,0,0.0025080759985207,0.0001919223372781,0,0,0,0,0,0,0,0,0
164,N158,N166,0,0.0013535553809171,0.0010265729012573,0,0,0,0,0,0,0,0,0
165,N159,N167,0,0.001516870839497,0.0001160735946745,0,0,0,0,0,0,0,0,0
166,N160,N168,0,0.0022623492973372,0.0006027426960059,0,0,0,0,0,0,0,0,0
167,N161,N169,0,0.0001915231139053,7.845525147928995e-05,0,0,0,0,0,0,0,0,0
168,N162,N170,0,0.0117929225221893,0.0009024149408284,0,0,0,0,0,0,0,0,0
169,N163,N171,0,0.002886410872781,0.0021891318417159,0,0,0,0,0,0,0,0,0
170,N164,N172,0,0.003169466531065,7.903707470414201e-05,0,0,0,0,0,0,0,0,0
171,N165,N173,0,0.0018947993713017,0.0001449933431952,0,0,0,0,0,0,0,0,0
172,N166,N174,0,0.001612096431213,0.0012226574056952,0,0,0,0,0,0,0,0,0
173,N166,N175,0,0.0223519554363905,0.0017104105029585,0,0,0,0,0,0,0,0,0
174,N167,N176,0,0.0006301289755917,4.8218565088757395e-05,0,0,0,0,0,0,0,0,0
175,N168,N177,0,0.0012777884615384,0.0003404326923076,0,0,0,0,0,0,0,0,0
176,N170,N178,0,0.0243311760355029,0.0018618639053254,0,0,0,0,0,0,0,0,0
177,N171,N179,0,0.0004862250369822,0.0003687661797337,0,0,0,0,0,0,0,0,0
178,N171,N180,0,0.0128779585798816,0.0009854437869822,0,0,0,0,0,0,0,0,0
179,N172,N181,0,0.0032962818971893,8.21994730029586e-05,0,0,0,0,0,0,0,0,0
180,N173,N182,0,0.0021926127958579,0.0001677825443786,0,0,0,0,0,0,0,0,0
181,N174,N183,0,0.0002417671505177,0.0001833627265162,0,0,0,0,0,0,0,0,0
182,N175,N184,0,0.002414032451923,0.0001847259615384,0,0,0,0,0,0,0,0,0
183,N176,N185,0,0.0013582354844674,0.0001039345414201,0,0,0,0,0,0,0,0,0
184,N177,N186,0,0.0009485375369822,0.0002527125554733,0,0,0,0,0,0,0,0,0
185,N179,N187,0,0.0019134259430473,0.00145119383321,0,0,0,0,0,0,0,0,0
186,N180,N188,0,0.0532991401627218,0.0040785428994082,0,0,0,0,0,0,0,0,0
187,N181,N189,0,0.0028284781804733,7.053383875739646e-05,0,0,0,0,0,0,0,0,0
188,N182,N190,0,0.0020616216715976,0.0001577588757396,0,0,0,0,0,0,0,0,0
189,N183,N191,0,0.000952495839497,0.0007223985299556,0,0,0,0,0,0,0,0,0
190,N183,N192,0,0.000114339820636,8.671840329142012e-05,0,0,0,0,0,0,0,0,0
191,N184,N193,0,0.0023350337463017,0.0001786808431952,0,0,0,0,0,0,0,0,0
192,N185,N194,0,0.0034594096708579,0.0002647200443786,0,0,0,0,0,0,0,0,0
193,N186,N195,0,0.0008527794008875,0.0002272003513313,0,0,0,0,0,0,0,0,0
194,N187,N196,0,0.0034163295118343,0.0025910364275147,0,0,0,0,0,0,0,0,0
195,N188,N197,0,0.0104170904215976,0.0007971338757396,0,0,0,0,0,0,0,0,0
196,N188,N198,0,0.0060205944896449,0.0004607063609467,0,0,0,0,0,0,0,0,0
197,N189,N199,0,0.0035141253698224,8.763184171597635e-05,0,0,0,0,0,0,0,0,0
198,N190,N200,0,0.0022181837093195,0.0001697392751479,0,0,0,0,0,0,0,0,0
199,N191,N201,0,0.0003832035872781,0.0002906319341715,0,0,0,0,0,0,0,0,0
200,N192,N202,0,6.766748335798817e-05,5.132084411982249e-05,0,0,0,0,0,0,0,0,0
201,N193,N203,0,0.0018677930843195,0.0001429267751479,0,0,0,0,0,0,0,0,0
202,N194,N204,0,0.002029618158284,0.0001553099112426,0,0,0,0,0,0,0,0,0
203,N195,N205,0,0.0010593940458579,0.0002822473187869,0,0,0,0,0,0,0,0,0
204,N196,N206,0,0.0172643537352071,0.001321098372781,0,0,0,0,0,0,0,0,0
205,N196,N207,0,0.0008792617418639,0.0006668558154585,0,0,0,0,0,0,0,0,0
206,N197,N208,0,0.0263369776257396,0.0020153513313609,0,0,0,0,0,0,0,0,0
207,N198,N209,0,0.0008510170118343,6.512130177514792e-05,0,0,0,0,0,0,0,0,0
208,N199,N210,0,0.008228867418639,0.0002052034948224,0,0,0,0,0,0,0,0,0
209,N200,N211,0,0.0033909370377218,0.0002594803994082,0,0,0,0,0,0,0,0,0
210,N202,N212,0,6.387823594674557e-05,4.844697670118344e-05,0,0,0,0,0,0,0,0,0
211,N203,N213,0,0.0014878443971893,0.0001138524408284,0,0,0,0,0,0,0,0,0
212,N204,N214,0,0.0014215514053254,0.0001087795857988,0,0,0,0,0,0,0,0,0
213,N205,N215,0,0.001954935281065,0.0005208404215976,0,0,0,0,0,0,0,0,0
214,N206,N216,0,0.056508529031065,0.0043241309171597,0,0,0,0,0,0,0,0,0
215,N207,N217,0,0.0015869170673076,0.0012035606971153,0,0,0,0,0,0,0,0,0
216,N209,N218,0,0.0006863211908284,5.2518491124260354e-05,0,0,0,0,0,0,0,0,0
217,N210,N219,0,0.0123355931028106,0.000307613026997,0,0,0,0,0,0,0,0,0
218,N211,N220,0,0.0092602856878698,0.0007086131656804,0,0,0,0,0,0,0,0,0
219,N212,N221,0,6.996736316568047e-05,5.30651349852071e-05,0,0,0,0,0,0,0,0,0
220,N213,N222,0,0.0031455413276627,0.0002407022928994,0,0,0,0,0,0,0,0,0
221,N214,N223,0,0.0027344928809171,0.0002092481508875,0,0,0,0,0,0,0,0,0
222,N215,N224,0,0.0017043934911242,0.0004540902366863,0,0,0,0,0,0,0,0,0
223,N216,N225,0,0.0243598835059171,0.0018640606508875,0,0,0,0,0,0,0,0,0
224,N217,N226,0,0.0005666179733727,0.0004297383505917,0,0,0,0,0,0,0,0,0
225,N218,N227,0,0.0005484721708579,4.1970044378698226e-05,0,0,0,0,0,0,0,0,0
226,N220,N228,0,0.000789561760355,6.041863905325444e-05,0,0,0,0,0,0,0,0,0
227,N221,N229,0,9.575152551775148e-05,7.26205390162722e-05,0,0,0,0,0,0,0,0,0
228,N222,N230,0,0.0024771888868343,0.0001895588017751,0,0,0,0,0,0,0,0,0
229,N223,N231,0,0.0013610530695266,0.0001041501479289,0,0,0,0,0,0,0,0,0
230,N224,N232,0,0.0011594080991124,0.0003088933986686,0,0,0,0,0,0,0,0,0
231,N226,N233,0,0.0632356462647929,0.0048389016272189,0,0,0,0,0,0,0,0,0
232,N226,N234,0,0.000463802237426,0.0003517601238905,0,0,0,0,0,0,0,0,0
233,N227,N235,0,0.0008372480584319,6.40676775147929e-05,0,0,0,0,0,0,0,0,0
234,N228,N236,0,0.0003646911982248,2.790680473372781e-05,0,0,0,0,0,0,0,0,0
235,N229,N237,0,8.533829511834319e-05,6.472286427514793e-05,0,0,0,0,0,0,0,0,0
236,N230,N238,0,0.0017183015902366,0.0001314874260355,0,0,0,0,0,0,0,0,0
237,N231,N239,0,0.0009664316752958,7.39530325443787e-05,0,0,0,0,0,0,0,0,0
238,N232,N240,0,0.0007616318417159,0.0002029165125739,0,0,0,0,0,0,0,0,0
239,N233,N241,0,0.0091832008136094,0.0007027144970414,0,0,0,0,0,0,0,0,0
240,N235,N242,0,0.0009814233542899,7.510022189349113e-05,0,0,0,0,0,0,0,0,0
241,N236,N243,0,0.0003900813609467,2.9849704142011837e-05,0,0,0,0,0,0,0,0,0
242,N237,N244,0,6.945307877218935e-05,5.267508783284024e-05,0,0,0,0,0,0,0,0,0
243,N238,N245,0,0.0017142081176035,0.0001311741863905,0,0,0,0,0,0,0,0,0
244,N239,N246,0,0.0110555658284023,0.0008459911242603,0,0,0,0,0,0,0,0,0
245,N240,N247,0,0.0016391614275147,0.0004367108912721,0,0,0,0,0,0,0,0,0
246,N241,N248,0,0.0281875462278106,0.0021569600591715,0,0,0,0,0,0,0,0,0
247,N241,N249,0,0.0281875462278106,0.0021569600591715,0,0,0,0,0,0,0,0,0
248,N242,N250,0,0.0015074080066568,0.0001153494822485,0,0,0,0,0,0,0,0,0
249,N243,N251,0,0.0003727399223372,2.852270710059171e-05,0,0,0,0,0,0,0,0,0
250,N244,N252,0,5.470751664201184e-05,4.149165588017752e-05,0,0,0,0,0,0,0,0,0
251,N245,N253,0,0.0025078101886094,0.0001919019970414,0,0,0,0,0,0,0,0,0
252,N246,N254,0,0.0032601053994082,0.0002494689349112,0,0,0,0,0,0,0,0,0
253,N247,N255,0,0.0242514330621301,0.0018557618343195,0,0,0,0,0,0,0,0,0
254,N247,N256,0,0.0010852335428994,0.0002891315643491,0,0,0,0,0,0,0,0,0
255,N250,N257,0,0.0055160872781065,0.0004221005917159,0,0,0,0,0,0,0,0,0
256,N251,N258,0,0.0004152482433431,3.177551775147929e-05,0,0,0,0,0,0,0,0,0
257,N252,N259,0,7.127158838757398e-05,5.405429456360948e-05,0,0,0,0,0,0,0,0,0
258,N253,N260,0,0.0094319988905325,0.0007217529585798,0,0,0,0,0,0,0,0,0
259,N254,N261,0,0.0007293823964497,5.581360946745562e-05,0,0,0,0,0,0,0,0,0
260,N255,N262,0,0.0033523946005917,0.0002565310650887,0,0,0,0,0,0,0,0,0
261,N256,N263,0,0.0040694674556213,0.0010842011834319,0,0,0,0,0,0,0,0,0
262,N257,N264,0,0.0268468010355029,0.0020543639053254,0,0,0,0,0,0,0,0,0
263,N258,N265,0,0.0008571306397928,6.558912721893492e-05,0,0,0,0,0,0,0,0,0
264,N259,N266,0,7.996505177514794e-05,6.064765162721894e-05,0,0,0,0,0,0,0,0,0
265,N260,N267,0,0.0022014376849112,0.0001684578402366,0,0,0,0,0,0,0,0,0
266,N261,N268,0,0.0183823502218934,0.001406649408284,0,0,0,0,0,0,0,0,0
267,N261,N269,0,0.0006310858912721,4.82917899408284e-05,0,0,0,0,0,0,0,0,0
268,N262,N270,0,0.0015412190273668,0.000117936760355,0,0,0,0,0,0,0,0,0
269,N263,N271,0,0.0226188285872781,0.0017308321005917,0,0,0,0,0,0,0,0,0
270,N263,N272,0,0.0013669600591715,0.0003641900887573,0,0,0,0,0,0,0,0,0
271,N265,N273,0,0.0008926960059171,6.831065088757397e-05,0,0,0,0,0,0,0,0,0
272,N266,N274,0,7.359615384615387e-05,5.58173076923077e-05,0,0,0,0,0,0,0,0,0
273,N267,N275,0,0.0010085359652366,7.717492603550295e-05,0,0,0,0,0,0,0,0,0
274,N268,N276,0,0.018217548076923,0.0013940384615384,0,0,0,0,0,0,0,0,0
275,N269,N277,0,0.0007399084689349,5.6619082840236686e-05,0,0,0,0,0,0,0,0,0
276,N270,N278,0,0.0018305265347633,0.0001400750739644,0,0,0,0,0,0,0,0,0
277,N271,N279,0,0.0016441406249999,0.0001258125,0,0,0,0,0,0,0,0,0
278,N272,N280,0,0.004955230214497,0.0013201890717455,0,0,0,0,0,0,0,0,0
279,N273,N281,0,0.003394605214497,0.0002597610946745,0,0,0,0,0,0,0,0,0
280,N274,N282,0,0.0002490864460059,0.0001889138775887,0,0,0,0,0,0,0,0,0
281,N275,N283,0,0.0006630362426035,5.073668639053255e-05,0,0,0,0,0,0,0,0,0
282,N277,N284,0,0.0006686714127218,5.116789940828402e-05,0,0,0,0,0,0,0,0,0
283,N278,N285,0,0.0028242834689349,0.0002161190828402,0,0,0,0,0,0,0,0,0
284,N279,N286,0,0.001355152089497,0.0001036985946745,0,0,0,0,0,0,0,0,0
285,N280,N287,0,0.0038032535133136,0.0006081961908284,0,0,0,0,0,0,0,0,0
286,N280,N288,0,0.0011565201553254,0.0003081239829881,0,0,0,0,0,0,0,0,0
287,N281,N289,0,0.018022443602071,0.0013791087278106,0,0,0,0,0,0,0,0,0
288,N282,N290,0,0.0003334373150887,0.0002528878513313,0,0,0,0,0,0,0,0,0
289,N283,N291,0,0.0046579465606508,0.0003564341715976,0,0,0,0,0,0,0,0,0
290,N283,N292,0,0.0005745215421597,4.39633875739645e-05,0,0,0,0,0,0,0,0,0
291,N284,N293,0,0.0006772304918639,5.18228550295858e-05,0,0,0,0,0,0,0,0,0
292,N285,N294,0,0.0025166350776627,0.0001925772928994,0,0,0,0,0,0,0,0,0
293,N286,N295,0,0.0019248890532544,0.0001472958579881,0,0,0,0,0,0,0,0,0
294,N287,N296,0,0.0017505546412721,0.000279939441568,0,0,0,0,0,0,0,0,0
295,N288,N297,0,0.0048469323224852,0.0012913359837278,0,0,0,0,0,0,0,0,0
